"";"cache_id";"reporting_level";"area";"Nobs_rl_a";"Nobs_rl";"Nobs";"Perc_a";"Perc_rl"
"492";"BRA_2013_PNADC-E1_D1_INC_GPWG";"national";"rural";125331;455062;455062;0,28;1
"493";"BRA_2014_PNADC-E1_D1_INC_GPWG";"national";"urban";332375;459707;459707;0,72;1
"494";"BRA_2014_PNADC-E1_D1_INC_GPWG";"national";"rural";127332;459707;459707;0,28;1
"495";"BRA_2015_PNADC-E1_D1_INC_GPWG";"national";"urban";329895;455028;455028;0,72;1
"496";"BRA_2015_PNADC-E1_D1_INC_GPWG";"national";"rural";125133;455028;455028;0,28;1
"497";"BRA_2016_PNADC-E1_D1_INC_GPWG";"national";"urban";329416;457903;457903;0,72;1
"498";"BRA_2016_PNADC-E1_D1_INC_GPWG";"national";"rural";128487;457903;457903;0,28;1
"499";"BRA_2017_PNADC-E1_D1_INC_GPWG";"national";"urban";329725;456439;456439;0,72;1
"500";"BRA_2017_PNADC-E1_D1_INC_GPWG";"national";"rural";126714;456439;456439;0,28;1
"501";"BRA_2018_PNADC-E1_D1_INC_GPWG";"national";"urban";325037;451064;451064;0,72;1
"502";"BRA_2018_PNADC-E1_D1_INC_GPWG";"national";"rural";126027;451064;451064;0,28;1
"503";"BRA_2019_PNADC-E1_D1_INC_GPWG";"national";"urban";321344;442270;442270;0,73;1
"504";"BRA_2019_PNADC-E1_D1_INC_GPWG";"national";"rural";120926;442270;442270;0,27;1
"505";"BRA_2020_PNADC-E5_D1_INC_GPWG";"national";"urban";265718;354460;354460;0,75;1
"506";"BRA_2020_PNADC-E5_D1_INC_GPWG";"national";"rural";88742;354460;354460;0,25;1
"507";"BRA_2021_PNADC-E5_D1_INC_GPWG";"national";"urban";247895;334253;334253;0,74;1
"508";"BRA_2021_PNADC-E5_D1_INC_GPWG";"national";"rural";86358;334253;334253;0,26;1
"509";"BRA_2022_PNADC-E1_D1_INC_GPWG";"national";"urban";273872;375613;375613;0,73;1
"510";"BRA_2022_PNADC-E1_D1_INC_GPWG";"national";"rural";101741;375613;375613;0,27;1
"511";"BTN_2003_BLSS_D1_CON_GPWG";"national";"rural";9226;19248;19248;0,48;1
"512";"BTN_2003_BLSS_D1_CON_GPWG";"national";"urban";10022;19248;19248;0,52;1
"513";"BTN_2007_BLSS_D1_CON_GPWG";"national";"rural";36211;49165;49165;0,74;1
"514";"BTN_2007_BLSS_D1_CON_GPWG";"national";"urban";12954;49165;49165;0,26;1
"515";"BTN_2012_BLSS_D1_CON_GPWG";"national";"rural";20803;40212;40212;0,52;1
"516";"BTN_2012_BLSS_D1_CON_GPWG";"national";"urban";19409;40212;40212;0,48;1
"517";"BTN_2017_BLSS_D1_CON_GPWG";"national";"rural";28949;47923;47923;0,6;1
"518";"BTN_2017_BLSS_D1_CON_GPWG";"national";"urban";18974;47923;47923;0,4;1
"519";"BTN_2022_BLSS_D1_CON_GPWG";"national";"";52822;52822;52822;1;1
"520";"BWA_1985_HIES_D1_CON_SYNTH";"national";"national";100000;100000;100000;1;1
"521";"BWA_1993_HIES_D1_CON_SYNTH";"national";"national";100000;100000;100000;1;1
"522";"BWA_2002_HIES_D1_CON_GPWG";"national";"rural";1462;6047;6047;0,24;1
"523";"BWA_2002_HIES_D1_CON_GPWG";"national";"urban";4585;6047;6047;0,76;1
"524";"BWA_2009_CWIS_D1_CON_GPWG";"national";"rural";11803;27211;27211;0,43;1
"525";"BWA_2009_CWIS_D1_CON_GPWG";"national";"urban";15408;27211;27211;0,57;1
"526";"BWA_2015_BMTHS_D1_CON_GPWG";"national";"rural";9301;24714;24714;0,38;1
"527";"BWA_2015_BMTHS_D1_CON_GPWG";"national";"urban";15413;24714;24714;0,62;1
"528";"CAF_1992_EPCM_D1_CON_SYNTH";"national";"national";100000;100000;100000;1;1
"529";"CAF_2008_ECASEB_D1_CON_GPWG";"national";"rural";12842;31966;31966;0,4;1
"530";"CAF_2008_ECASEB_D1_CON_GPWG";"national";"urban";19124;31966;31966;0,6;1
"531";"CAF_2021_EHCVM_D1_CON_GPWG";"national";"urban";14201;32368;32368;0,44;1
"532";"CAF_2021_EHCVM_D1_CON_GPWG";"national";"rural";18167;32368;32368;0,56;1
"533";"CAN_1971_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"534";"CAN_1973_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"535";"CAN_1975_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"536";"CAN_1977_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"537";"CAN_1979_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"538";"CAN_1981_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"539";"CAN_1982_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"540";"CAN_1984_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"541";"CAN_1985_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"542";"CAN_1986_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"543";"CAN_1987_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"544";"CAN_1988_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"545";"CAN_1989_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"546";"CAN_1990_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"547";"CAN_1991_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"548";"CAN_1992_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"549";"CAN_1993_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"550";"CAN_1994_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"551";"CAN_1995_SCF-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"552";"CAN_1996_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"553";"CAN_1997_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"554";"CAN_1998_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"555";"CAN_1999_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"556";"CAN_2000_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"557";"CAN_2001_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"558";"CAN_2002_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"559";"CAN_2003_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"560";"CAN_2004_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"561";"CAN_2005_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"562";"CAN_2006_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"563";"CAN_2007_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
"564";"CAN_2008_SLID-LIS_D1_INC_BIN";"national";"";400;400;400;1;1
