"";"cache_id";"reporting_level";"area";"N"
"243";"BFA_1994_EP-I_D1_CON_GPWG";"national";"rural";5912
"244";"BFA_1994_EP-I_D1_CON_GPWG";"national";"urban";2716
"245";"BFA_1998_EP-II_D1_CON_GPWG";"national";"rural";5885
"246";"BFA_1998_EP-II_D1_CON_GPWG";"national";"urban";2593
"247";"BFA_2003_ECVM_D1_CON_GPWG";"national";"rural";5710
"248";"BFA_2003_ECVM_D1_CON_GPWG";"national";"urban";2527
"249";"BFA_2009_ECVM_D1_CON_GPWG";"national";"rural";41779
"250";"BFA_2009_ECVM_D1_CON_GPWG";"national";"urban";15376
"251";"BFA_2014_EMC_D1_CON_GPWG";"national";"urban";25606
"252";"BFA_2014_EMC_D1_CON_GPWG";"national";"rural";51431
"253";"BFA_2018_EHCVM_D1_CON_GPWG";"national";"rural";27916
"254";"BFA_2018_EHCVM_D1_CON_GPWG";"national";"urban";17696
"255";"BFA_2021_EHCVM_D1_CON_GPWG";"national";"rural";27030
"256";"BFA_2021_EHCVM_D1_CON_GPWG";"national";"urban";20060
"257";"BGD_1983_HHES_D1_CON_SYNTH";"national";"national";100000
"258";"BGD_1985_HHES_D1_CON_SYNTH";"national";"national";100000
"259";"BGD_1988_HHES_D1_CON_SYNTH";"national";"national";100000
"260";"BGD_1991_HHES_D1_CON_HIST";"national";"urban";3840
"261";"BGD_1991_HHES_D1_CON_HIST";"national";"rural";1920
"262";"BGD_1995_HHES_D1_CON_HIST";"national";"rural";2380
"263";"BGD_1995_HHES_D1_CON_HIST";"national";"urban";5040
"264";"BGD_2000_HIES_D1_CON_GPWG";"national";"rural";26231
"265";"BGD_2000_HIES_D1_CON_GPWG";"national";"urban";12287
"266";"BGD_2005_HIES_D1_CON_GPWG";"national";"rural";31363
"267";"BGD_2005_HIES_D1_CON_GPWG";"national";"urban";17606
"268";"BGD_2010_HIES_D1_CON_GPWG";"national";"rural";35894
"269";"BGD_2010_HIES_D1_CON_GPWG";"national";"urban";19686
"270";"BGD_2016_HIES_D1_CON_GPWG";"national";"urban";55399
"271";"BGD_2016_HIES_D1_CON_GPWG";"national";"rural";129716
"272";"BGD_2022_HIES_D1_CON_GPWG";"national";"rural";7136
"273";"BGD_2022_HIES_D1_CON_GPWG";"national";"";47579
"274";"BGD_2022_HIES_D1_CON_GPWG";"national";"urban";7134
"275";"BGR_1989_HBS_D1_CON_SYNTH";"national";"national";100000
"276";"BGR_1992_HBS_D1_INC_SYNTH";"national";"national";100000
"277";"BGR_1994_HBS_D1_CON_SYNTH";"national";"national";100000
"278";"BGR_1995_IHS_D1_CON_GPWG";"national";"urban";3863
"279";"BGR_1995_IHS_D1_CON_GPWG";"national";"rural";1933
"280";"BGR_1997_IHS_D1_CON_SYNTH";"national";"national";100000
"281";"BGR_2001_IHS_D1_CON_GPWG";"national";"rural";2467
"282";"BGR_2001_IHS_D1_CON_GPWG";"national";"urban";4992
"283";"BGR_2003_MTHS_D1_CON_GPWG";"national";"rural";2533
"284";"BGR_2003_MTHS_D1_CON_GPWG";"national";"urban";5635
"285";"BGR_2007_EU-SILC_D1_INC_GPWG";"national";"rural";6794
"286";"BGR_2007_EU-SILC_D1_INC_GPWG";"national";"urban";5253
"287";"BGR_2007_MTHS_D1_CON_GPWG";"national";"urban";3025
"288";"BGR_2007_MTHS_D1_CON_GPWG";"national";"rural";1275
"289";"BGR_2008_EU-SILC_D1_INC_GPWG";"national";"urban";5219
"290";"BGR_2008_EU-SILC_D1_INC_GPWG";"national";"rural";6961
"291";"BGR_2009_EU-SILC_D1_INC_GPWG";"national";"rural";7926
"292";"BGR_2009_EU-SILC_D1_INC_GPWG";"national";"urban";7053
"293";"BGR_2010_EU-SILC_D1_INC_GPWG";"national";"urban";7882
"294";"BGR_2010_EU-SILC_D1_INC_GPWG";"national";"rural";8441
"295";"BGR_2011_EU-SILC_D1_INC_GPWG";"national";"urban";8415
